home_team,away_team,home_team_goals,away_team_goals,winner,loser,venue,league,year,date
Aston Villa,Sunderland,0,1,Sunderland,Aston Villa,"Villa Park, Birmingham",1,2010/11,2011-01-05
Chelsea,Aston Villa,3,3,draw,draw,"Stamford Bridge, London",1,2010/11,2011-01-02
Man City,Aston Villa,4,0,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2010/11,2010-12-28
Aston Villa,Spurs,1,2,Spurs,Aston Villa,"Villa Park, Birmingham",1,2010/11,2010-12-26
Aston Villa,West Brom,2,1,Aston Villa,West Brom,"Villa Park, Birmingham",1,2010/11,2010-12-11
Liverpool,Aston Villa,3,0,Liverpool,Aston Villa,"Anfield, Liverpool",1,2010/11,2010-12-06
Aston Villa,Arsenal,2,4,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2010/11,2010-11-27
Blackburn,Aston Villa,2,0,Blackburn,Aston Villa,"Ewood Park, Blackburn",1,2010/11,2010-11-21
Aston Villa,Man Utd,2,2,draw,draw,"Villa Park, Birmingham",1,2010/11,2010-11-13
Aston Villa,Blackpool,3,2,Aston Villa,Blackpool,"Villa Park, Birmingham",1,2010/11,2010-11-10
Fulham,Aston Villa,1,1,draw,draw,"Craven Cottage, London",1,2010/11,2010-11-06
Aston Villa,Birmingham,0,0,draw,draw,"Villa Park, Birmingham",1,2010/11,2010-10-31
Sunderland,Aston Villa,1,0,Sunderland,Aston Villa,"Stadium of Light, Sunderland",1,2010/11,2010-10-23
Aston Villa,Chelsea,0,0,draw,draw,"Villa Park, Birmingham",1,2010/11,2010-10-16
Spurs,Aston Villa,2,1,Spurs,Aston Villa,"White Hart Lane, London",1,2010/11,2010-10-02
Wolves,Aston Villa,1,2,Aston Villa,Wolves,"Molineux Stadium, Wolverhampton",1,2010/11,2010-09-26
Aston Villa,Bolton,1,1,draw,draw,"Villa Park, Birmingham",1,2010/11,2010-09-18
Stoke,Aston Villa,2,1,Stoke,Aston Villa,"Britannia Stadium, Stoke",1,2010/11,2010-09-13
Aston Villa,Everton,1,0,Aston Villa,Everton,"Villa Park, Birmingham",1,2010/11,2010-08-29
Newcastle,Aston Villa,6,0,Newcastle,Aston Villa,"Sports Direct Arena, Newcastle",1,2010/11,2010-08-22
Aston Villa,West Ham,3,0,Aston Villa,West Ham,"Villa Park, Birmingham",1,2010/11,2010-08-14
Aston Villa,Blackburn,0,1,Blackburn,Aston Villa,"Villa Park, Birmingham",1,2009/10,2010-05-09
Man City,Aston Villa,3,1,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2009/10,2010-05-01
Aston Villa,Birmingham,1,0,Aston Villa,Birmingham,"Villa Park, Birmingham",1,2009/10,2010-04-25
Hull,Aston Villa,0,2,Aston Villa,Hull,"KCOM Stadium, Hull",1,2009/10,2010-04-21
Portsmouth,Aston Villa,1,2,Aston Villa,Portsmouth,"Fratton Park, Portsmouth",1,2009/10,2010-04-18
Aston Villa,Everton,2,2,draw,draw,"Villa Park, Birmingham",1,2009/10,2010-04-14
Bolton,Aston Villa,0,1,Aston Villa,Bolton,"Macron Stadium, Bolton",1,2009/10,2010-04-03
Chelsea,Aston Villa,7,1,Chelsea,Aston Villa,"Stamford Bridge, London",1,2009/10,2010-03-27
Aston Villa,Sunderland,1,1,draw,draw,"Villa Park, Birmingham",1,2009/10,2010-03-24
Aston Villa,Wolves,2,2,draw,draw,"Villa Park, Birmingham",1,2009/10,2010-03-20
Wigan,Aston Villa,1,2,Aston Villa,Wigan,"DW Stadium, Wigan",1,2009/10,2010-03-16
Stoke,Aston Villa,0,0,draw,draw,"Britannia Stadium, Stoke",1,2009/10,2010-03-13
Aston Villa,Burnley,5,2,Aston Villa,Burnley,"Villa Park, Birmingham",1,2009/10,2010-02-21
Aston Villa,Man Utd,1,1,draw,draw,"Villa Park, Birmingham",1,2009/10,2010-02-10
Spurs,Aston Villa,0,0,draw,draw,"White Hart Lane, London",1,2009/10,2010-02-06
Fulham,Aston Villa,0,2,Aston Villa,Fulham,"Craven Cottage, London",1,2009/10,2010-01-30
Aston Villa,Arsenal,0,0,draw,draw,"Villa Park, Birmingham",1,2009/10,2010-01-27
Aston Villa,West Ham,0,0,draw,draw,"Villa Park, Birmingham",1,2009/10,2010-01-17
Aston Villa,Liverpool,0,1,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2009/10,2009-12-29
Arsenal,Aston Villa,3,0,Arsenal,Aston Villa,"Emirates Stadium, London",1,2009/10,2009-12-27
Aston Villa,Stoke,1,0,Aston Villa,Stoke,"Villa Park, Birmingham",1,2009/10,2009-12-19
Sunderland,Aston Villa,0,2,Aston Villa,Sunderland,"Stadium of Light, Sunderland",1,2009/10,2009-12-15
Man Utd,Aston Villa,0,1,Aston Villa,Man Utd,"Old Trafford, Manchester",1,2009/10,2009-12-12
Aston Villa,Hull,3,0,Aston Villa,Hull,"Villa Park, Birmingham",1,2009/10,2009-12-05
Aston Villa,Spurs,1,1,draw,draw,"Villa Park, Birmingham",1,2009/10,2009-11-28
Burnley,Aston Villa,1,1,draw,draw,"Turf Moor, Burnley",1,2009/10,2009-11-21
Aston Villa,Bolton,5,1,Aston Villa,Bolton,"Villa Park, Birmingham",1,2009/10,2009-11-07
West Ham,Aston Villa,2,1,West Ham,Aston Villa,"Boleyn Ground, London",1,2009/10,2009-11-04
Everton,Aston Villa,1,1,draw,draw,"Goodison Park, Liverpool",1,2009/10,2009-10-31
Wolves,Aston Villa,1,1,draw,draw,"Molineux Stadium, Wolverhampton",1,2009/10,2009-10-24
Aston Villa,Chelsea,2,1,Aston Villa,Chelsea,"Villa Park, Birmingham",1,2009/10,2009-10-17
Aston Villa,Man City,1,1,draw,draw,"Villa Park, Birmingham",1,2009/10,2009-10-05
Blackburn,Aston Villa,2,1,Blackburn,Aston Villa,"Ewood Park, Blackburn",1,2009/10,2009-09-26
Aston Villa,Portsmouth,2,0,Aston Villa,Portsmouth,"Villa Park, Birmingham",1,2009/10,2009-09-19
Birmingham,Aston Villa,0,1,Aston Villa,Birmingham,"St Andrews, Birmingham",1,2009/10,2009-09-13
Aston Villa,Fulham,2,0,Aston Villa,Fulham,"Villa Park, Birmingham",1,2009/10,2009-08-30
Liverpool,Aston Villa,1,3,Aston Villa,Liverpool,"Anfield, Liverpool",1,2009/10,2009-08-24
Aston Villa,Wigan,0,2,Wigan,Aston Villa,"Villa Park, Birmingham",1,2009/10,2009-08-15
Aston Villa,Newcastle,1,0,Aston Villa,Newcastle,"Villa Park, Birmingham",1,2008/09,2009-05-24
Middlesbrough,Aston Villa,1,1,draw,draw,"Riverside Stadium, Middlesbrough",1,2008/09,2009-05-16
Fulham,Aston Villa,3,1,Fulham,Aston Villa,"Craven Cottage, London",1,2008/09,2009-05-09
Aston Villa,Hull,1,0,Aston Villa,Hull,"Villa Park, Birmingham",1,2008/09,2009-05-04
Bolton,Aston Villa,1,1,draw,draw,"Toughsheet Community Stadium, Bolton",1,2008/09,2009-04-25
Aston Villa,West Ham,1,1,draw,draw,"Villa Park, Birmingham",1,2008/09,2009-04-18
Aston Villa,Everton,3,3,draw,draw,"Villa Park, Birmingham",1,2008/09,2009-04-12
Man Utd,Aston Villa,3,2,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2008/09,2009-04-05
Liverpool,Aston Villa,5,0,Liverpool,Aston Villa,"Anfield, Liverpool",1,2008/09,2009-03-22
Aston Villa,Spurs,1,2,Spurs,Aston Villa,"Villa Park, Birmingham",1,2008/09,2009-03-15
Man City,Aston Villa,2,0,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2008/09,2009-03-04
Aston Villa,Stoke,2,2,draw,draw,"Villa Park, Birmingham",1,2008/09,2009-03-01
Aston Villa,Chelsea,0,1,Chelsea,Aston Villa,"Villa Park, Birmingham",1,2008/09,2009-02-21
Blackburn,Aston Villa,0,2,Aston Villa,Blackburn,"Ewood Park, Blackburn",1,2008/09,2009-02-07
Aston Villa,Wigan,0,0,draw,draw,"Villa Park, Birmingham",1,2008/09,2009-01-31
Portsmouth,Aston Villa,0,1,Aston Villa,Portsmouth,"Fratton Park, Portsmouth",1,2008/09,2009-01-27
Sunderland,Aston Villa,1,2,Aston Villa,Sunderland,"Stadium of Light, Sunderland",1,2008/09,2009-01-17
Aston Villa,West Brom,2,1,Aston Villa,West Brom,"Villa Park, Birmingham",1,2008/09,2009-01-10
Hull,Aston Villa,0,1,Aston Villa,Hull,"KCOM Stadium, Hull",1,2008/09,2008-12-30
Aston Villa,Arsenal,2,2,draw,draw,"Villa Park, Birmingham",1,2008/09,2008-12-26
West Ham,Aston Villa,0,1,Aston Villa,West Ham,"Boleyn Ground, London",1,2008/09,2008-12-20
Aston Villa,Bolton,4,2,Aston Villa,Bolton,"Villa Park, Birmingham",1,2008/09,2008-12-13
Everton,Aston Villa,2,3,Aston Villa,Everton,"Goodison Park, Liverpool",1,2008/09,2008-12-07
Aston Villa,Fulham,0,0,draw,draw,"Villa Park, Birmingham",1,2008/09,2008-11-29
Aston Villa,Man Utd,0,0,draw,draw,"Villa Park, Birmingham",1,2008/09,2008-11-22
Arsenal,Aston Villa,0,2,Aston Villa,Arsenal,"Emirates Stadium, London",1,2008/09,2008-11-15
Aston Villa,Middlesbrough,1,2,Middlesbrough,Aston Villa,"Villa Park, Birmingham",1,2008/09,2008-11-09
Newcastle,Aston Villa,2,0,Newcastle,Aston Villa,"Sports Direct Arena, Newcastle",1,2008/09,2008-11-03
Aston Villa,Blackburn,3,2,Aston Villa,Blackburn,"Villa Park, Birmingham",1,2008/09,2008-10-29
Wigan,Aston Villa,0,4,Aston Villa,Wigan,"DW Stadium, Wigan",1,2008/09,2008-10-26
Aston Villa,Portsmouth,0,0,draw,draw,"Villa Park, Birmingham",1,2008/09,2008-10-18
Chelsea,Aston Villa,2,0,Chelsea,Aston Villa,"Stamford Bridge, London",1,2008/09,2008-10-05
Aston Villa,Sunderland,2,1,Aston Villa,Sunderland,"Villa Park, Birmingham",1,2008/09,2008-09-27
West Brom,Aston Villa,1,2,Aston Villa,West Brom,"The Hawthorns, West Bromwich",1,2008/09,2008-09-21
Spurs,Aston Villa,1,2,Aston Villa,Spurs,"White Hart Lane, London",1,2008/09,2008-09-15
Aston Villa,Liverpool,0,0,draw,draw,"Villa Park, Birmingham",1,2008/09,2008-08-31
Stoke,Aston Villa,3,2,Stoke,Aston Villa,"bet365 Stadium, Stoke",1,2008/09,2008-08-23
Aston Villa,Man City,4,2,Aston Villa,Man City,"Villa Park, Birmingham",1,2008/09,2008-08-17
West Ham,Aston Villa,2,2,draw,draw,"Boleyn Ground, London",1,2007/08,2008-05-11
Aston Villa,Wigan,0,2,Wigan,Aston Villa,"Villa Park, Birmingham",1,2007/08,2008-05-03
Everton,Aston Villa,2,2,draw,draw,"Goodison Park, Liverpool",1,2007/08,2008-04-27
Aston Villa,Birmingham,5,1,Aston Villa,Birmingham,"Villa Park, Birmingham",1,2007/08,2008-04-20
Derby,Aston Villa,0,6,Aston Villa,Derby,"Pride Park Stadium, Derby",1,2007/08,2008-04-12
Aston Villa,Bolton,4,0,Aston Villa,Bolton,"Villa Park, Birmingham",1,2007/08,2008-04-05
Man Utd,Aston Villa,4,0,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2007/08,2008-03-29
Aston Villa,Sunderland,0,1,Sunderland,Aston Villa,"Villa Park, Birmingham",1,2007/08,2008-03-22
Portsmouth,Aston Villa,2,0,Portsmouth,Aston Villa,"Fratton Park, Portsmouth",1,2007/08,2008-03-15
Aston Villa,Middlesbrough,1,1,draw,draw,"Villa Park, Birmingham",1,2007/08,2008-03-12
Arsenal,Aston Villa,1,1,draw,draw,"Emirates Stadium, London",1,2007/08,2008-03-01
Reading,Aston Villa,1,2,Aston Villa,Reading,"Madejski Stadium, Reading",1,2007/08,2008-02-24
Aston Villa,Newcastle,4,1,Aston Villa,Newcastle,"Villa Park, Birmingham",1,2007/08,2008-02-09
Fulham,Aston Villa,2,1,Fulham,Aston Villa,"Craven Cottage, London",1,2007/08,2008-02-03
Aston Villa,Blackburn,1,1,draw,draw,"Villa Park, Birmingham",1,2007/08,2008-01-26
Liverpool,Aston Villa,2,2,draw,draw,"Anfield, Liverpool",1,2007/08,2008-01-21
Aston Villa,Reading,3,1,Aston Villa,Reading,"Villa Park, Birmingham",1,2007/08,2008-01-12
Aston Villa,Spurs,2,1,Aston Villa,Spurs,"Villa Park, Birmingham",1,2007/08,2008-01-01
Wigan,Aston Villa,1,2,Aston Villa,Wigan,"DW Stadium, Wigan",1,2007/08,2007-12-29
Chelsea,Aston Villa,4,4,draw,draw,"Stamford Bridge, London",1,2007/08,2007-12-26
Aston Villa,Man City,1,1,draw,draw,"Villa Park, Birmingham",1,2007/08,2007-12-22
Sunderland,Aston Villa,1,1,draw,draw,"Stadium of Light, Sunderland",1,2007/08,2007-12-15
Aston Villa,Portsmouth,1,3,Portsmouth,Aston Villa,"Villa Park, Birmingham",1,2007/08,2007-12-08
Aston Villa,Arsenal,1,2,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2007/08,2007-12-01
Blackburn,Aston Villa,0,4,Aston Villa,Blackburn,"Ewood Park, Blackburn",1,2007/08,2007-11-28
Middlesbrough,Aston Villa,0,3,Aston Villa,Middlesbrough,"Riverside Stadium, Middlesbrough",1,2007/08,2007-11-24
Birmingham,Aston Villa,1,2,Aston Villa,Birmingham,"St. Andrew's Trillion Trophy Stadium, Birmingham",1,2007/08,2007-11-11
Aston Villa,Derby,2,0,Aston Villa,Derby,"Villa Park, Birmingham",1,2007/08,2007-11-03
Bolton,Aston Villa,1,1,draw,draw,"Toughsheet Community Stadium, Bolton",1,2007/08,2007-10-28
Aston Villa,Man Utd,1,4,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2007/08,2007-10-20
Aston Villa,West Ham,1,0,Aston Villa,West Ham,"Villa Park, Birmingham",1,2007/08,2007-10-06
Spurs,Aston Villa,4,4,draw,draw,"White Hart Lane, London",1,2007/08,2007-10-01
Aston Villa,Everton,2,0,Aston Villa,Everton,"Villa Park, Birmingham",1,2007/08,2007-09-23
Man City,Aston Villa,1,0,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2007/08,2007-09-16
Aston Villa,Chelsea,2,0,Aston Villa,Chelsea,"Villa Park, Birmingham",1,2007/08,2007-09-02
Aston Villa,Fulham,2,1,Aston Villa,Fulham,"Villa Park, Birmingham",1,2007/08,2007-08-25
Newcastle,Aston Villa,0,0,draw,draw,"Sports Direct Arena, Newcastle",1,2007/08,2007-08-18
Aston Villa,Liverpool,1,2,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2007/08,2007-08-11
Bolton,Aston Villa,2,2,draw,draw,"Toughsheet Community Stadium, Bolton",1,2006/07,2007-05-13
Aston Villa,Sheffield Utd,3,0,Aston Villa,Sheffield Utd,"Villa Park, Birmingham",1,2006/07,2007-05-05
Man City,Aston Villa,0,2,Aston Villa,Man City,"Etihad Stadium, Manchester",1,2006/07,2007-04-28
Aston Villa,Portsmouth,0,0,draw,draw,"Villa Park, Birmingham",1,2006/07,2007-04-22
Middlesbrough,Aston Villa,1,3,Aston Villa,Middlesbrough,"Riverside Stadium, Middlesbrough",1,2006/07,2007-04-14
Aston Villa,Wigan,1,1,draw,draw,"Villa Park, Birmingham",1,2006/07,2007-04-09
Blackburn,Aston Villa,1,2,Aston Villa,Blackburn,"Ewood Park, Blackburn",1,2006/07,2007-04-07
Aston Villa,Everton,1,1,draw,draw,"Villa Park, Birmingham",1,2006/07,2007-04-02
Aston Villa,Liverpool,0,0,draw,draw,"Villa Park, Birmingham",1,2006/07,2007-03-18
Aston Villa,Arsenal,0,1,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2006/07,2007-03-14
Fulham,Aston Villa,1,1,draw,draw,"Craven Cottage, London",1,2006/07,2007-03-03
Reading,Aston Villa,2,0,Reading,Aston Villa,"Madejski Stadium, Reading",1,2006/07,2007-02-10
Aston Villa,West Ham,1,0,Aston Villa,West Ham,"Villa Park, Birmingham",1,2006/07,2007-02-03
Newcastle,Aston Villa,3,1,Newcastle,Aston Villa,"Sports Direct Arena, Newcastle",1,2006/07,2007-01-31
Aston Villa,Watford,2,0,Aston Villa,Watford,"Villa Park, Birmingham",1,2006/07,2007-01-20
Man Utd,Aston Villa,3,1,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2006/07,2007-01-13
Aston Villa,Chelsea,0,0,draw,draw,"Villa Park, Birmingham",1,2006/07,2007-01-02
Charlton,Aston Villa,2,1,Charlton,Aston Villa,"The Valley, London",1,2006/07,2006-12-30
Spurs,Aston Villa,2,1,Spurs,Aston Villa,"White Hart Lane, London",1,2006/07,2006-12-26
Aston Villa,Man Utd,0,3,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2006/07,2006-12-23
Aston Villa,Bolton,0,1,Bolton,Aston Villa,"Villa Park, Birmingham",1,2006/07,2006-12-16
Sheffield Utd,Aston Villa,2,2,draw,draw,"Bramall Lane, Sheffield",1,2006/07,2006-12-11
Portsmouth,Aston Villa,2,2,draw,draw,"Fratton Park, Portsmouth",1,2006/07,2006-12-02
Aston Villa,Man City,1,3,Man City,Aston Villa,"Villa Park, Birmingham",1,2006/07,2006-11-29
Aston Villa,Middlesbrough,1,1,draw,draw,"Villa Park, Birmingham",1,2006/07,2006-11-25
Wigan,Aston Villa,0,0,draw,draw,"DW Stadium, Wigan",1,2006/07,2006-11-19
Everton,Aston Villa,0,1,Aston Villa,Everton,"Goodison Park, Liverpool",1,2006/07,2006-11-11
Aston Villa,Blackburn,2,0,Aston Villa,Blackburn,"Villa Park, Birmingham",1,2006/07,2006-11-05
Liverpool,Aston Villa,3,1,Liverpool,Aston Villa,"Anfield, Liverpool",1,2006/07,2006-10-28
Aston Villa,Fulham,1,1,draw,draw,"Villa Park, Birmingham",1,2006/07,2006-10-21
Aston Villa,Spurs,1,1,draw,draw,"Villa Park, Birmingham",1,2006/07,2006-10-14
Chelsea,Aston Villa,1,1,draw,draw,"Stamford Bridge, London",1,2006/07,2006-09-30
Aston Villa,Charlton,2,0,Aston Villa,Charlton,"Villa Park, Birmingham",1,2006/07,2006-09-23
Watford,Aston Villa,0,0,draw,draw,"Vicarage Road, Watford",1,2006/07,2006-09-16
West Ham,Aston Villa,1,1,draw,draw,"Boleyn Ground, London",1,2006/07,2006-09-10
Aston Villa,Newcastle,2,0,Aston Villa,Newcastle,"Villa Park, Birmingham",1,2006/07,2006-08-27
Aston Villa,Reading,2,1,Aston Villa,Reading,"Villa Park, Birmingham",1,2006/07,2006-08-23
Arsenal,Aston Villa,1,1,draw,draw,"Emirates Stadium, London",1,2006/07,2006-08-19
Aston Villa,Sunderland,2,1,Aston Villa,Sunderland,"Villa Park, Birmingham",1,2005/06,2006-05-07
Liverpool,Aston Villa,3,1,Liverpool,Aston Villa,"Anfield, Liverpool",1,2005/06,2006-04-29
Aston Villa,Man City,0,1,Man City,Aston Villa,"Villa Park, Birmingham",1,2005/06,2006-04-25
Wigan,Aston Villa,3,2,Wigan,Aston Villa,"DW Stadium, Wigan",1,2005/06,2006-04-18
Aston Villa,Birmingham,3,1,Aston Villa,Birmingham,"Villa Park, Birmingham",1,2005/06,2006-04-16
Aston Villa,West Brom,0,0,draw,draw,"Villa Park, Birmingham",1,2005/06,2006-04-09
Arsenal,Aston Villa,5,0,Arsenal,Aston Villa,"Highbury, London",1,2005/06,2006-04-01
Aston Villa,Fulham,0,0,draw,draw,"Villa Park, Birmingham",1,2005/06,2006-03-25
Everton,Aston Villa,4,1,Everton,Aston Villa,"Goodison Park, Liverpool",1,2005/06,2006-03-18
Blackburn,Aston Villa,2,0,Blackburn,Aston Villa,"Ewood Park, Blackburn",1,2005/06,2006-03-11
Aston Villa,Portsmouth,1,0,Aston Villa,Portsmouth,"Villa Park, Birmingham",1,2005/06,2006-03-04
Charlton,Aston Villa,0,0,draw,draw,"The Valley, London",1,2005/06,2006-02-25
Aston Villa,Newcastle,1,2,Newcastle,Aston Villa,"Villa Park, Birmingham",1,2005/06,2006-02-11
Middlesbrough,Aston Villa,0,4,Aston Villa,Middlesbrough,"Riverside Stadium, Middlesbrough",1,2005/06,2006-02-04
Aston Villa,Chelsea,1,1,draw,draw,"Villa Park, Birmingham",1,2005/06,2006-02-01
Spurs,Aston Villa,0,0,draw,draw,"White Hart Lane, London",1,2005/06,2006-01-21
Aston Villa,West Ham,1,2,West Ham,Aston Villa,"Villa Park, Birmingham",1,2005/06,2006-01-14
West Brom,Aston Villa,1,2,Aston Villa,West Brom,"The Hawthorns, West Bromwich",1,2005/06,2006-01-02
Aston Villa,Arsenal,0,0,draw,draw,"Villa Park, Birmingham",1,2005/06,2005-12-31
Fulham,Aston Villa,3,3,draw,draw,"Craven Cottage, London",1,2005/06,2005-12-28
Aston Villa,Everton,4,0,Aston Villa,Everton,"Villa Park, Birmingham",1,2005/06,2005-12-26
Aston Villa,Man Utd,0,2,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2005/06,2005-12-17
Bolton,Aston Villa,1,1,draw,draw,"Macron Stadium, Bolton",1,2005/06,2005-12-10
Newcastle,Aston Villa,1,1,draw,draw,"Sports Direct Arena, Newcastle",1,2005/06,2005-12-03
Aston Villa,Charlton,1,0,Aston Villa,Charlton,"Villa Park, Birmingham",1,2005/06,2005-11-26
Sunderland,Aston Villa,1,3,Aston Villa,Sunderland,"Stadium of Light, Sunderland",1,2005/06,2005-11-19
Aston Villa,Liverpool,0,2,Liverpool,Aston Villa,"Villa Park, Birmingham",1,2005/06,2005-11-05
Man City,Aston Villa,3,1,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2005/06,2005-10-31
Aston Villa,Wigan,0,2,Wigan,Aston Villa,"Villa Park, Birmingham",1,2005/06,2005-10-22
Birmingham,Aston Villa,0,1,Aston Villa,Birmingham,"St Andrews, Birmingham",1,2005/06,2005-10-16
Aston Villa,Middlesbrough,2,3,Middlesbrough,Aston Villa,"Villa Park, Birmingham",1,2005/06,2005-10-02
Chelsea,Aston Villa,2,1,Chelsea,Aston Villa,"Stamford Bridge, London",1,2005/06,2005-09-24
Aston Villa,Spurs,1,1,draw,draw,"Villa Park, Birmingham",1,2005/06,2005-09-17
West Ham,Aston Villa,4,0,West Ham,Aston Villa,"Boleyn Ground, London",1,2005/06,2005-09-12
Aston Villa,Blackburn,1,0,Aston Villa,Blackburn,"Villa Park, Birmingham",1,2005/06,2005-08-27
Portsmouth,Aston Villa,1,1,draw,draw,"Fratton Park, Portsmouth",1,2005/06,2005-08-23
Man Utd,Aston Villa,1,0,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2005/06,2005-08-20
Aston Villa,Bolton,2,2,draw,draw,"Villa Park, Birmingham",1,2005/06,2005-08-13
Liverpool,Aston Villa,2,1,Liverpool,Aston Villa,"Anfield, Liverpool",1,2004/05,2005-05-15
Aston Villa,Man City,1,2,Man City,Aston Villa,"Villa Park, Birmingham",1,2004/05,2005-05-07
Spurs,Aston Villa,5,1,Spurs,Aston Villa,"White Hart Lane, London",1,2004/05,2005-05-01
Aston Villa,Bolton,1,1,draw,draw,"Villa Park, Birmingham",1,2004/05,2005-04-23
Aston Villa,Charlton,0,0,draw,draw,"Villa Park, Birmingham",1,2004/05,2005-04-20
Southampton,Aston Villa,2,3,Aston Villa,Southampton,"The Friends Provident St Mary's Stadium, Southampton",1,2004/05,2005-04-16
Aston Villa,West Brom,1,1,draw,draw,"Villa Park, Birmingham",1,2004/05,2005-04-10
Newcastle,Aston Villa,0,3,Aston Villa,Newcastle,"Sports Direct Arena, Newcastle",1,2004/05,2005-04-02
Birmingham,Aston Villa,2,0,Birmingham,Aston Villa,"St Andrews, Birmingham",1,2004/05,2005-03-20
Aston Villa,Middlesbrough,2,0,Aston Villa,Middlesbrough,"Villa Park, Birmingham",1,2004/05,2005-03-05
Aston Villa,Everton,1,3,Everton,Aston Villa,"Villa Park, Birmingham",1,2004/05,2005-02-26
Portsmouth,Aston Villa,1,2,Aston Villa,Portsmouth,"Fratton Park, Portsmouth",1,2004/05,2005-02-12
Aston Villa,Arsenal,1,3,Arsenal,Aston Villa,"Villa Park, Birmingham",1,2004/05,2005-02-05
Fulham,Aston Villa,1,1,draw,draw,"Craven Cottage, London",1,2004/05,2005-02-02
Man Utd,Aston Villa,3,1,Man Utd,Aston Villa,"Old Trafford, Manchester",1,2004/05,2005-01-22
Aston Villa,Norwich,3,0,Aston Villa,Norwich,"Villa Park, Birmingham",1,2004/05,2005-01-15
Crystal Palace,Aston Villa,2,0,Crystal Palace,Aston Villa,"Selhurst Park, London",1,2004/05,2005-01-03
Aston Villa,Blackburn,1,0,Aston Villa,Blackburn,"Villa Park, Birmingham",1,2004/05,2005-01-01
Aston Villa,Man Utd,0,1,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2004/05,2004-12-28
Chelsea,Aston Villa,1,0,Chelsea,Aston Villa,"Stamford Bridge, London",1,2004/05,2004-12-26
Middlesbrough,Aston Villa,3,0,Middlesbrough,Aston Villa,"Riverside Stadium, Middlesbrough",1,2004/05,2004-12-18
Aston Villa,Birmingham,1,2,Birmingham,Aston Villa,"Villa Park, Birmingham",1,2004/05,2004-12-12
Aston Villa,Liverpool,1,1,draw,draw,"Villa Park, Birmingham",1,2004/05,2004-12-04
Man City,Aston Villa,2,0,Man City,Aston Villa,"Etihad Stadium, Manchester",1,2004/05,2004-11-27
Aston Villa,Spurs,1,0,Aston Villa,Spurs,"Villa Park, Birmingham",1,2004/05,2004-11-22
Bolton,Aston Villa,1,2,Aston Villa,Bolton,"Macron Stadium, Bolton",1,2004/05,2004-11-13
Aston Villa,Portsmouth,3,0,Aston Villa,Portsmouth,"Villa Park, Birmingham",1,2004/05,2004-11-06
Everton,Aston Villa,1,1,draw,draw,"Goodison Park, Liverpool",1,2004/05,2004-10-30
Aston Villa,Fulham,2,0,Aston Villa,Fulham,"Villa Park, Birmingham",1,2004/05,2004-10-23
Arsenal,Aston Villa,3,1,Arsenal,Aston Villa,"Highbury, London",1,2004/05,2004-10-16
Blackburn,Aston Villa,2,2,draw,draw,"Ewood Park, Blackburn",1,2004/05,2004-10-02
Aston Villa,Crystal Palace,1,1,draw,draw,"Villa Park, Birmingham",1,2004/05,2004-09-25
Norwich,Aston Villa,0,0,draw,draw,"Carrow Road, Norwich",1,2004/05,2004-09-18
Aston Villa,Chelsea,0,0,draw,draw,"Villa Park, Birmingham",1,2004/05,2004-09-11
Aston Villa,Newcastle,4,2,Aston Villa,Newcastle,"Villa Park, Birmingham",1,2004/05,2004-08-28
Charlton,Aston Villa,3,0,Charlton,Aston Villa,"The Valley, London",1,2004/05,2004-08-25
West Brom,Aston Villa,1,1,draw,draw,"The Hawthorns, West Bromwich",1,2004/05,2004-08-22
Aston Villa,Southampton,2,0,Aston Villa,Southampton,"Villa Park, Birmingham",1,2004/05,2004-08-14
Aston Villa,Man Utd,0,2,Man Utd,Aston Villa,"Villa Park, Birmingham",1,2003/04,2004-05-15
Southampton,Aston Villa,1,1,draw,draw,"The Friends Provident St Mary's Stadium, Southampton",1,2003/04,2004-05-08
Aston Villa,Spurs,1,0,Aston Villa,Spurs,"Villa Park, Birmingham",1,2003/04,2004-05-02
Middlesbrough,Aston Villa,1,2,Aston Villa,Middlesbrough,"Riverside Stadium, Middlesbrough",1,2003/04,2004-04-24
Aston Villa,Newcastle,0,0,draw,draw,"Villa Park, Birmingham",1,2003/04,2004-04-18
Aston Villa,Chelsea,3,2,Aston Villa,Chelsea,"Villa Park, Birmingham",1,2003/04,2004-04-12
Bolton,Aston Villa,2,2,draw,draw,"Macron Stadium, Bolton",1,2003/04,2004-04-10
Aston Villa,Man City,1,1,draw,draw,"Villa Park, Birmingham",1,2003/04,2004-04-04
